训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:80
	经验回放类大小:20000
	一次采样数：1024
第59局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:14.39, 探索率为:0.17
第60局, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:14.34, 探索率为:0.16
第61局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:15.34, 探索率为:0.16
第62局, 当前小蛇平均长度为:3.95, 小蛇平均存活步数为:14.20, 探索率为:0.16
第63局, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:15.17, 探索率为:0.16
第64局, 当前小蛇平均长度为:4.16, 小蛇平均存活步数为:16.96, 探索率为:0.16
第65局, 当前小蛇平均长度为:3.86, 小蛇平均存活步数为:14.48, 探索率为:0.16
第66局, 当前小蛇平均长度为:4.12, 小蛇平均存活步数为:16.36, 探索率为:0.15
第67局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:20.80, 探索率为:0.15
第68局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:16.42, 探索率为:0.15
第69局, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:16.30, 探索率为:0.15
第70局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:15.30, 探索率为:0.15
第71局, 当前小蛇平均长度为:4.18, 小蛇平均存活步数为:17.35, 探索率为:0.15
第72局, 当前小蛇平均长度为:4.13, 小蛇平均存活步数为:14.29, 探索率为:0.15
第73局, 当前小蛇平均长度为:4.07, 小蛇平均存活步数为:14.45, 探索率为:0.14
第74局, 当前小蛇平均长度为:4.14, 小蛇平均存活步数为:14.50, 探索率为:0.14
第75局, 当前小蛇平均长度为:4.09, 小蛇平均存活步数为:15.27, 探索率为:0.14
第76局, 当前小蛇平均长度为:4.13, 小蛇平均存活步数为:16.23, 探索率为:0.14
第77局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:17.42, 探索率为:0.14
第78局, 当前小蛇平均长度为:4.25, 小蛇平均存活步数为:16.77, 探索率为:0.14
第79局, 当前小蛇平均长度为:4.24, 小蛇平均存活步数为:15.09, 探索率为:0.14
第80局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:13.90, 探索率为:0.13
第81局, 当前小蛇平均长度为:4.17, 小蛇平均存活步数为:19.39, 探索率为:0.13
第82局, 当前小蛇平均长度为:4.09, 小蛇平均存活步数为:15.51, 探索率为:0.13
第83局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:13.00, 探索率为:0.13
第84局, 当前小蛇平均长度为:4.09, 小蛇平均存活步数为:13.72, 探索率为:0.13
第85局, 当前小蛇平均长度为:4.22, 小蛇平均存活步数为:15.56, 探索率为:0.13
第86局, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:15.34, 探索率为:0.13
第87局, 当前小蛇平均长度为:4.20, 小蛇平均存活步数为:14.26, 探索率为:0.13
第88局, 当前小蛇平均长度为:4.36, 小蛇平均存活步数为:15.84, 探索率为:0.12
第89局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:15.36, 探索率为:0.12
第90局, 当前小蛇平均长度为:4.27, 小蛇平均存活步数为:15.95, 探索率为:0.12
第91局, 当前小蛇平均长度为:4.18, 小蛇平均存活步数为:16.46, 探索率为:0.12
第92局, 当前小蛇平均长度为:4.14, 小蛇平均存活步数为:13.63, 探索率为:0.12
训练日志
